"","Customer.ID","Name","Surname","Gender","Age","Region","Job.Classification","Date.Joined","Balance"
"1",100000001,"Simon","Walsh","Male",21,"England","White Collar","05.Jan.15",113810.15
"3",100000003,"Liam","Brown","Male",46,"England","White Collar","07.Jan.15",101536.83
"5",100000005,"Deirdre","Pullman","Female",38,"England","Blue Collar","09.Jan.15",35639.79
"7",100000007,"Dorothy","Thomson","Female",34,"England","Blue Collar","11.Jan.15",42879.84
"10",100000010,"Dominic","Parr","Male",42,"England","White Collar","12.Jan.15",10912.45
"11",100000011,"Dominic","Lewis","Male",40,"England","White Collar","12.Jan.15",39667.83
"12",100000012,"Benjamin","Grant","Male",39,"England","White Collar","12.Jan.15",32281.62
"13",100000013,"Ryan","MacDonald","Male",24,"England","White Collar","12.Jan.15",40781.63
"16",100000016,"Nicholas","Newman","Male",42,"England","White Collar","14.Jan.15",2116.85
"19",100000019,"William","Ince","Male",40,"England","Blue Collar","15.Jan.15",65534.69
"20",100000020,"Audrey","Jones","Female",46,"England","Blue Collar","15.Jan.15",11462.64
"25",100000025,"Jennifer","Hughes","Female",38,"England","White Collar","20.Jan.15",20505.32
"28",100000028,"Alison","Fisher","Female",33,"England","White Collar","25.Jan.15",3428.56
"30",100000030,"Luke","Wilkins","Male",42,"England","White Collar","27.Jan.15",10813.83
"31",100000031,"Megan","Bell","Female",25,"England","White Collar","28.Jan.15",38889.76
"34",100000034,"Jake","Wilson","Male",26,"England","Other","30.Jan.15",5833.62
"35",100000035,"Karen","Dyer","Female",34,"England","Blue Collar","31.Jan.15",77809.59
"36",100000036,"Yvonne","Thomson","Female",36,"England","White Collar","31.Jan.15",31680.67
"37",100000037,"Sophie","Gill","Female",33,"England","White Collar","31.Jan.15",20504.37
"38",100000038,"Robert","Cornish","Male",31,"England","Other","31.Jan.15",5688.36
"41",100000041,"Edward","Terry","Male",27,"England","Blue Collar","01.Feb.15",51412.6
