"","Customer.ID","Name","Surname","Gender","Age","Region","Job.Classification","Date.Joined","Balance"
"8",200000008,"Lisa","Knox","Female",48,"Scotland","Other","11.Jan.15",36680.17
"14",200000014,"Thomas","Lawrence","Male",46,"Scotland","Other","12.Jan.15",48791.46
"17",200000017,"Grace","Hill","Female",31,"Scotland","Other","14.Jan.15",10356.31
"18",200000018,"Samantha","Coleman","Female",42,"Scotland","Other","14.Jan.15",3801.69
"22",200000022,"Jason","Butler","Male",58,"Scotland","Blue Collar","18.Jan.15",21252.97
"24",200000024,"Carl","Quinn","Male",52,"Scotland","Blue Collar","19.Jan.15",6580.81
"26",200000026,"Richard","Fraser","Male",55,"Scotland","Blue Collar","21.Jan.15",43249.26
"29",200000029,"Lucas","Mackenzie","Male",50,"Scotland","Blue Collar","25.Jan.15",20516.1
"33",200000033,"Grace","Chapman","Female",58,"Scotland","Other","29.Jan.15",25865.2
"39",200000039,"Luke","Martin","Male",35,"Scotland","Blue Collar","31.Jan.15",12848.59
"40",200000040,"Gavin","Pullman","Male",59,"Scotland","Other","31.Jan.15",114456.23
"43",200000043,"Jake","Morgan","Male",49,"Scotland","Blue Collar","01.Feb.15",114021.21
"46",200000046,"Lisa","Berry","Female",47,"Scotland","Other","03.Feb.15",54589.61
"47",200000047,"Leah","Nolan","Female",32,"Scotland","Other","03.Feb.15",59501.63
"65",200000065,"Maria","Hughes","Female",50,"Scotland","Other","12.Feb.15",18091.36
"66",200000066,"Piers","Burgess","Male",43,"Scotland","Blue Collar","12.Feb.15",20076.8
"67",200000067,"Dan","Ellison","Male",47,"Scotland","Blue Collar","12.Feb.15",5300.47
"68",200000068,"Lucas","Piper","Male",61,"Scotland","Blue Collar","12.Feb.15",7162.43
"69",200000069,"Jason","Sharp","Male",53,"Scotland","Blue Collar","12.Feb.15",35751.37
"70",200000070,"Kevin","Parr","Male",45,"Scotland","Other","12.Feb.15",15013.76
"71",200000071,"Dan","Mills","Male",49,"Scotland","Blue Collar","12.Feb.15",70041.44
"72",200000072,"Angela","Roberts","Female",51,"Scotland","Other","12.Feb.15",35937.38
"76",200000076,"Michael","Hemmings","Male",44,"Scotland","Blue Collar","24.Feb.15",58237.65
"99",200000099,"Robert","May","Male",40,"Scotland","Blue Collar","16.Mar.15",5456.86
"100",200000100,"Carolyn","Robertson","Female",56,"Scotland","Other","16.Mar.15",13251.27
"101",200000101,"Stewart","Lewis","Male",51,"Scotland","Blue Collar","16.Mar.15",119014.87
"102",200000102,"Emma","Piper","Female",44,"Scotland","White Collar","16.Mar.15",18829.79
"103",200000103,"Nicola","Powell","Female",55,"Scotland","White Collar","16.Mar.15",35939.04
"104",200000104,"Diana","McDonald","Female",57,"Scotland","Other","16.Mar.15",22686
"105",200000105,"Stephen","Ross","Male",48,"Scotland","White Collar","16.Mar.15",85108.08
"106",200000106,"Ella","Bond","Female",54,"Scotland","Other","16.Mar.15",44973.03
"107",200000107,"Ian","Wilson","Male",36,"Scotland","Blue Collar","16.Mar.15",12616.44
"108",200000108,"Piers","Quinn","Male",48,"Scotland","Blue Collar","16.Mar.15",23910.87
"109",200000109,"Joe","Forsyth","Male",63,"Scotland","Other","16.Mar.15",73461.71
"110",200000110,"Tim","Jones","Male",63,"Scotland","Blue Collar","16.Mar.15",26474.23
"118",200000118,"Adam","McGrath","Male",52,"Scotland","Other","28.Mar.15",67682.92
"140",200000140,"Keith","Harris","Male",57,"Scotland","Blue Collar","02.Apr.15",40510.36
"164",200000164,"Claire","Walsh","Female",59,"Scotland","Other","05.Apr.15",67524.87
"165",200000165,"Paul","Harris","Male",52,"Scotland","Blue Collar","05.Apr.15",4371.98
"166",200000166,"William","Mitchell","Male",51,"Scotland","Blue Collar","05.Apr.15",10229.63
"186",200000186,"Sue","Ellison","Female",51,"Scotland","Other","07.Apr.15",58953.83
"191",200000191,"Jason","Fisher","Male",51,"Scotland","Blue Collar","08.Apr.15",1239.6
"210",200000210,"Blake","Rutherford","Male",44,"Scotland","Blue Collar","12.Apr.15",64482.16
"256",200000256,"Julian","Peake","Male",46,"Scotland","Blue Collar","17.Apr.15",29487.25
"257",200000257,"Justin","Underwood","Male",36,"Scotland","Blue Collar","17.Apr.15",79483.58
"258",200000258,"Owen","McGrath","Male",54,"Scotland","Other","17.Apr.15",2112.92
"259",200000259,"Alison","Taylor","Female",50,"Scotland","Other","17.Apr.15",18160.49
"260",200000260,"Harry","Walsh","Male",45,"Scotland","Blue Collar","17.Apr.15",26059.74
"261",200000261,"Nathan","Howard","Male",47,"Scotland","Blue Collar","17.Apr.15",19177.31
"262",200000262,"Zoe","Clarkson","Female",59,"Scotland","Other","17.Apr.15",23550.89
"263",200000263,"Gabrielle","Marshall","Female",41,"Scotland","Other","17.Apr.15",87758.52
"264",200000264,"Lily","Davies","Female",48,"Scotland","Other","17.Apr.15",10577.52
"265",200000265,"Tim","Sanderson","Male",52,"Scotland","Blue Collar","17.Apr.15",45213.63
"266",200000266,"Karen","Oliver","Female",28,"Scotland","Other","17.Apr.15",13162.58
"267",200000267,"Luke","MacLeod","Male",55,"Scotland","Other","17.Apr.15",36993.45
"295",200000295,"Tim","Thomson","Male",45,"Scotland","Blue Collar","22.Apr.15",16423.75
"300",200000300,"Owen","Smith","Male",53,"Scotland","Blue Collar","23.Apr.15",64309.53
"301",200000301,"Joseph","Robertson","Male",41,"Scotland","Blue Collar","23.Apr.15",99190.79
"333",200000333,"David","Morrison","Male",54,"Scotland","Blue Collar","28.Apr.15",15859.07
"339",200000339,"Theresa","Slater","Female",58,"Scotland","Other","29.Apr.15",33008.01
"347",200000347,"Jake","Manning","Male",56,"Scotland","Other","02.May.15",70950.09
"348",200000348,"Brandon","Anderson","Male",51,"Scotland","Other","02.May.15",27842.09
