"","Customer.ID","Name","Surname","Gender","Age","Region","Job.Classification","Date.Joined","Balance"
"4",300000004,"Trevor","Parr","Male",32,"Wales","White Collar","08.Jan.15",1421.52
"6",300000006,"Ava","Coleman","Female",30,"Wales","Blue Collar","09.Jan.15",122443.77
"9",300000009,"Ruth","Campbell","Female",33,"Wales","White Collar","11.Jan.15",74284.35
"15",300000015,"Madeleine","Marshall","Female",36,"Wales","Other","12.Jan.15",2846.03
"21",300000021,"Boris","Johnston","Male",37,"Wales","Other","16.Jan.15",31778.9
"23",300000023,"Deirdre","McDonald","Female",41,"Wales","White Collar","18.Jan.15",66785.78
"32",300000032,"Warren","Edmunds","Male",30,"Wales","White Collar","28.Jan.15",14094.01
"73",300000073,"Hannah","White","Female",36,"Wales","White Collar","12.Feb.15",41442.1
"74",300000074,"Oliver","Simpson","Male",45,"Wales","Other","12.Feb.15",36696.92
"79",300000079,"Ruth","Mathis","Female",23,"Wales","Blue Collar","15.Mar.15",7370.52
"111",300000111,"Sonia","Robertson","Female",25,"Wales","Other","16.Mar.15",70799.64
"112",300000112,"Nathan","Paterson","Male",26,"Wales","White Collar","16.Mar.15",20627.65
"167",300000167,"Cameron","Ross","Male",24,"Wales","Blue Collar","05.Apr.15",19064.65
"168",300000168,"Pippa","Wilson","Female",30,"Wales","White Collar","05.Apr.15",30846.82
"238",300000238,"Dorothy","Miller","Female",27,"Wales","Other","16.Apr.15",39264.03
"268",300000268,"James","Oliver","Male",28,"Wales","Blue Collar","17.Apr.15",67180.28
"269",300000269,"Gabrielle","Powell","Female",42,"Wales","Other","17.Apr.15",44094.63
"270",300000270,"Heather","Black","Female",63,"Wales","Other","17.Apr.15",27020.99
"271",300000271,"Carl","Abraham","Male",30,"Wales","White Collar","17.Apr.15",28912.8
"302",300000302,"William","Wilkins","Male",30,"Wales","Blue Collar","23.Apr.15",13597.9
"340",300000340,"Rebecca","Nash","Female",20,"Wales","White Collar","29.Apr.15",1488.04
"351",300000351,"Nicholas","James","Male",38,"Wales","Blue Collar","02.May.15",48457.2
"357",300000357,"Mary","Reid","Female",27,"Wales","Other","03.May.15",18106.22
"358",300000358,"Simon","Morrison","Male",28,"Wales","Blue Collar","03.May.15",6729.3
"364",300000364,"Katherine","Howard","Female",34,"Wales","White Collar","04.May.15",5654.34
"365",300000365,"Dorothy","Butler","Female",28,"Wales","Other","04.May.15",65204.55
"366",300000366,"Dorothy","Paige","Female",35,"Wales","White Collar","04.May.15",17495.5
"367",300000367,"Karen","Gray","Female",32,"Wales","White Collar","04.May.15",18897.91
"374",300000374,"John","Underwood","Male",19,"Wales","Blue Collar","05.May.15",94786.37
"375",300000375,"Molly","Black","Female",44,"Wales","Other","05.May.15",47772.44
"392",300000392,"Yvonne","Piper","Female",44,"Wales","Other","06.May.15",25290.08
"393",300000393,"Lily","Lyman","Female",34,"Wales","Other","06.May.15",109225.68
"394",300000394,"Julia","Scott","Female",42,"Wales","Blue Collar","06.May.15",41572.1
"395",300000395,"Gavin","Oliver","Male",32,"Wales","Other","06.May.15",4820.58
"409",300000409,"Stewart","Scott","Male",45,"Wales","Other","07.May.15",19287.92
"410",300000410,"Andrew","Grant","Male",32,"Wales","White Collar","07.May.15",50621.67
"411",300000411,"Edward","Dowd","Male",38,"Wales","White Collar","07.May.15",97120.48
"418",300000418,"Christian","McLean","Male",44,"Wales","White Collar","08.May.15",9667.85
"427",300000427,"Dominic","Welch","Male",24,"Wales","White Collar","09.May.15",65526.26
"428",300000428,"Diana","Bower","Female",49,"Wales","White Collar","09.May.15",20738.67
"429",300000429,"Trevor","Reid","Male",37,"Wales","Other","09.May.15",34401.95
"430",300000430,"Amy","Welch","Female",26,"Wales","White Collar","09.May.15",20774.79
"439",300000439,"Tim","Miller","Male",26,"Wales","Blue Collar","10.May.15",3209.28
"440",300000440,"Sally","Mitchell","Female",23,"Wales","White Collar","10.May.15",32658.92
"466",300000466,"Amy","Davies","Female",39,"Wales","White Collar","12.May.15",83260.18
"467",300000467,"Angela","Morrison","Female",20,"Wales","Other","12.May.15",1291.01
"468",300000468,"Jasmine","Allan","Female",45,"Wales","Other","12.May.15",64149.12
"469",300000469,"Peter","Parsons","Male",38,"Wales","Blue Collar","12.May.15",64271.06
"487",300000487,"Heather","Ross","Female",19,"Wales","White Collar","13.May.15",30972.98
"494",300000494,"Jonathan","White","Male",41,"Wales","White Collar","14.May.15",74390.3
"495",300000495,"Stephen","Poole","Male",40,"Wales","White Collar","14.May.15",8257.16
"496",300000496,"Julia","Chapman","Female",41,"Wales","Other","14.May.15",21688.92
"509",300000509,"Wendy","Rampling","Female",31,"Wales","White Collar","15.May.15",54685.83
"510",300000510,"Peter","Scott","Male",27,"Wales","White Collar","15.May.15",36638.21
"511",300000511,"Felicity","Wallace","Female",51,"Wales","Blue Collar","15.May.15",40918.08
"512",300000512,"Jasmine","Marshall","Female",57,"Wales","White Collar","15.May.15",45944.18
"524",300000524,"Brandon","Clark","Male",31,"Wales","White Collar","16.May.15",145995.97
"525",300000525,"Luke","Mathis","Male",23,"Wales","Blue Collar","16.May.15",56584.82
"526",300000526,"Yvonne","Metcalfe","Female",40,"Wales","Other","16.May.15",57702.39
"527",300000527,"Mary","Stewart","Female",32,"Wales","White Collar","16.May.15",43353.84
"528",300000528,"Victoria","Welch","Female",30,"Wales","Other","16.May.15",34170.61
"529",300000529,"Amelia","Nolan","Female",24,"Wales","White Collar","16.May.15",51952.49
"530",300000530,"Chloe","Hill","Female",36,"Wales","White Collar","16.May.15",73513.79
"531",300000531,"Felicity","Vaughan","Female",23,"Wales","White Collar","16.May.15",51109.71
"539",300000539,"Julia","Allan","Female",23,"Wales","Blue Collar","17.May.15",80752.64
"550",300000550,"Fiona","Young","Female",34,"Wales","Blue Collar","18.May.15",2872.93
"551",300000551,"Cameron","Knox","Male",35,"Wales","Other","18.May.15",7709.87
"552",300000552,"Bernadette","Ferguson","Female",38,"Wales","White Collar","18.May.15",40078.58
"553",300000553,"Zoe","Ferguson","Female",33,"Wales","Blue Collar","18.May.15",53715.28
"592",300000592,"Diana","Martin","Female",27,"Wales","White Collar","19.May.15",98541.75
"593",300000593,"Amanda","Simpson","Female",33,"Wales","Other","19.May.15",33373.82
"594",300000594,"Joan","Randall","Female",39,"Wales","White Collar","19.May.15",40637.13
"595",300000595,"Joe","Ogden","Male",34,"Wales","Blue Collar","19.May.15",61421.55
"596",300000596,"Lillian","Kerr","Female",36,"Wales","White Collar","19.May.15",56989.79
"597",300000597,"Julian","Lyman","Male",36,"Wales","White Collar","19.May.15",60084.51
"598",300000598,"Blake","MacDonald","Male",39,"Wales","Blue Collar","19.May.15",51333.22
"599",300000599,"Victoria","Forsyth","Female",33,"Wales","White Collar","19.May.15",1790.25
"611",300000611,"Nicola","Paige","Female",36,"Wales","Blue Collar","20.May.15",26783.44
"612",300000612,"Emily","Ince","Female",24,"Wales","White Collar","20.May.15",16637.73
"613",300000613,"Paul","Ellison","Male",31,"Wales","White Collar","20.May.15",34008.59
"614",300000614,"Jennifer","Skinner","Female",38,"Wales","Blue Collar","20.May.15",27842.1
"615",300000615,"Penelope","Grant","Female",42,"Wales","Other","20.May.15",24020.29
"624",300000624,"Tim","Paterson","Male",40,"Wales","Blue Collar","21.May.15",34324.69
"633",300000633,"Piers","Miller","Male",42,"Wales","White Collar","22.May.15",39588.61
"634",300000634,"Heather","Mackay","Female",50,"Wales","White Collar","22.May.15",57622.79
"635",300000635,"Kimberly","Walsh","Female",34,"Wales","White Collar","22.May.15",48381.35
"636",300000636,"Elizabeth","McDonald","Female",30,"Wales","White Collar","22.May.15",20276.08
"637",300000637,"Carolyn","Mills","Female",40,"Wales","White Collar","22.May.15",18379.01
"650",300000650,"Abigail","Short","Female",26,"Wales","Blue Collar","23.May.15",39944.64
"651",300000651,"Una","Jones","Female",46,"Wales","White Collar","23.May.15",30255.26
"652",300000652,"Chloe","Forsyth","Female",34,"Wales","White Collar","23.May.15",28272.45
"666",300000666,"Alan","Forsyth","Male",35,"Wales","Blue Collar","24.May.15",38041.18
"667",300000667,"Richard","Watson","Male",35,"Wales","White Collar","24.May.15",83727.16
"668",300000668,"Anthony","Ellison","Male",33,"Wales","White Collar","24.May.15",42548.69
"675",300000675,"Matt","Davies","Male",26,"Wales","Blue Collar","25.May.15",11076.52
"685",300000685,"Caroline","Ross","Female",42,"Wales","Blue Collar","26.May.15",30630.24
"686",300000686,"Stephen","Taylor","Male",34,"Wales","Blue Collar","26.May.15",84898.38
"687",300000687,"Tim","Vance","Male",36,"Wales","Other","26.May.15",401.13
"688",300000688,"Wendy","Piper","Female",33,"Wales","White Collar","26.May.15",35636.26
"689",300000689,"Warren","Ferguson","Male",33,"Wales","White Collar","26.May.15",31308.46
"702",300000702,"Diane","Underwood","Female",31,"Wales","White Collar","27.May.15",56873.89
